CLASS,CODE, URL,CRN,TYPE,SECTION,TIME,DAY,LOCATION,INSTRUCTOR
ENGL265,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/265,51091,Lecture-Discussion,SS,02:00PM - 03:15PM,TR,236 Wohlers Hall,"Soto, S"
ENGL266,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/266,60017,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,322 David Kinley Hall,"Johnson, L"
ENGL266,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/266,60020,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,322 David Kinley Hall,"Johnson, L"
ENGL266,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/266,60023,Discussion/ Recitation,AD3,01:00PM - 01:50PM,F,322 David Kinley Hall,"Johnson, L"
ENGL266,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/266,68660,Discussion/ Recitation,AD4,09:00AM - 09:50AM,F,322 David Kinley Hall,"Johnson, L"
ENGL266,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/266,68661,Discussion/ Recitation,AD5,12:00PM - 12:50PM,F,212 David Kinley Hall,"Johnson, L"
ENGL266,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/266,68662,Discussion/ Recitation,AD6,02:00PM - 02:50PM,F,322 David Kinley Hall,"Johnson, L"
ENGL266,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/266,60026,Lecture,AL1,02:00PM - 02:50PM,MW,103 Mumford Hall,"Johnson, L"
ENGL269,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/269,60041,Lecture-Discussion,AL1,11:00AM - 12:20PM,TR,311 Gregory Hall,"Wade, M"
ENGL270,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/270,61765,Lecture-Discussion,S,02:30PM - 04:20PM,TR,148 Armory,"Camargo, S"
ENGL273,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/273,39308,Lecture-Discussion,F,02:00PM - 03:50PM,MW,148 Armory,"Basu, A"
ENGL277,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/277,69159,Lecture-Discussion,JB,11:00AM - 12:20PM,TR,304 English Building,"Byrd, J"
ENGL280,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/280,49539,Lecture-Discussion,D,01:00PM - 01:50PM,MWF,119 English Building,"Cole, M"
ENGL284,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/284,46114,Lecture-Discussion,GH,12:00PM - 12:50PM,MWF,143 Henry Administration Bldg,"Hutner, G"
ENGL285,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/285,32110,Lecture-Discussion,M,09:30AM - 10:45AM,TR,104 English Building,"Basu, M"
ENGL290,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/290,10067,Independent Study,,ARRANGED,n.a,n.a,
ENGL301,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/301,48562,Lecture-Discussion,P,11:00AM - 12:15PM,TR,127 English Building,"Oh, R"
ENGL301,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/301,48566,Lecture-Discussion,S,02:00PM - 03:15PM,TR,115 English Building,"Hansen, J"
ENGL301,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/301,48564,Lecture-Discussion,X,12:00PM - 12:50PM,MWF,119 English Building,"Basu, A"
ENGL311,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/311,63930,Lecture-Discussion,C,10:00AM - 10:50AM,MWF,131 English Building,"Norcross, K"
ENGL325,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/325,58612,Lecture-Discussion,P,12:00PM - 01:15PM,MW,304 English Building,"Somerville, S"
ENGL350,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/350,70306,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,127 English Building,"Hutner, G"
ENGL350,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/350,70307,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,104 English Building,"Courtemanche, E"
ENGL350,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/350,70308,Lecture-Discussion,Q,12:30PM - 01:45PM,TR,115 English Building,"Baron, I"
ENGL357,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/357,70258,Lecture-Discussion,A,10:00AM - 11:20AM,MW,n.a,"Coyoca, W"
ENGL359,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/359,58586,Lecture-Discussion,R,12:00PM - 01:50PM,TR,236 Wohlers Hall,"Harris, R"
ENGL360,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/360,67941,Online,A,ARRANGED,n.a,n.a,"Gruich, A"
ENGL360,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/360,67477,Lecture-Discussion,B,09:30AM - 10:50AM,TR,2084 Natural History Building,"Wood, G"
ENGL373,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/373,54455,Lecture-Discussion,M,04:00PM - 05:50PM,TR,321 Gregory Hall,"Newcomb, J"
ENGL374,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/374,66595,Lecture-Discussion,Q,12:30PM - 02:20PM,TR,148 Armory,"Camargo, S"
ENGL380,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/380,59085,Lecture-Discussion,D,12:00PM - 12:50PM,MWF,127 English Building,"McDuffie, K"
ENGL390,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/390,54016,Independent Study,,ARRANGED,n.a,n.a,
ENGL391,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/391,10069,Independent Study,,ARRANGED,n.a,n.a,
ENGL396,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/396,32113,Lecture-Discussion,E,01:00PM - 03:20PM,W,1020 Lincoln Hall,"Gray, C"
ENGL396,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/396,62424,Lecture-Discussion,G,09:30AM - 10:45AM,TR,123 English Building,"Murison, J"
ENGL396,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/396,32114,Lecture-Discussion,X,12:00PM - 02:50PM,M,133 1207 W Oregon,"Ruiz, S"
ENGL402,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/402,32124,Lecture-Discussion,1G,02:00PM - 03:15PM,MW,127 English Building,"Prior, P"
ENGL402,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/402,32123,Lecture-Discussion,1U,02:00PM - 03:15PM,MW,127 English Building,"Prior, P"
ENGL404,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/404,43879,Lecture-Discussion,G4,09:30AM - 10:50AM,TR,G32 Foreign Languages Building,
ENGL404,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/404,43878,Lecture-Discussion,U3,09:30AM - 10:50AM,TR,G32 Foreign Languages Building,
ENGL418,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/418,54465,Lecture-Discussion,1G,11:00AM - 12:15PM,TR,115 English Building,"Newcomb, L"
ENGL418,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/418,54464,Lecture-Discussion,1U,11:00AM - 12:15PM,TR,115 English Building,"Newcomb, L"
ENGL423,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/423,45971,Lecture-Discussion,1G,12:00PM - 12:50PM,MWF,131 English Building,"Perry, C"
ENGL423,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/423,45972,Lecture-Discussion,1U,12:00PM - 12:50PM,MWF,131 English Building,"Perry, C"
ENGL429,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/429,43201,Lecture-Discussion,1G,11:00AM - 12:15PM,TR,150 English Building,"Pollock, A"
